Test,Creativity,Algorithmic Thinking,Cooperativity,Critical Thinking,Problem Solving,Gender
post-test,3,2.83,1,2.6,3,Girl
post-test,2.4,4.5,3,4.2,3.5,Boy
post-test,2.8,3.17,4.25,3.2,3.25,Boy
post-test,3.2,2.67,3.75,2.8,3.25,Boy
post-test,2.4,2,1.75,1.6,3.75,Boy
post-test,3.2,2.83,3.5,3,3,Girl
post-test,4,3.5,4,3.8,2,Girl
post-test,3.6,4.17,4.75,4.4,3.75,Girl
post-test,3.4,2.67,3,4.2,3.5,Boy
post-test,5,4,4.25,4.6,3.5,Girl
post-test,3,4.33,4.5,3.8,5,Girl
post-test,2.8,2.67,4,2.6,4.5,Girl
post-test,3,3.17,3.75,3,4,Girl
post-test,4,2.17,3,2.2,4,Girl
post-test,2.2,1.83,3.25,3,3,Girl
post-test,3,2.67,4.5,3.2,4.25,Boy
post-test,3.2,2.5,2.5,1.8,2.25,Girl
post-test,3.6,2.5,2.5,4.2,1.5,Boy
post-test,3.6,4.33,3.25,4.4,2.5,Boy
post-test,3.8,4.17,5,5,1,Boy
post-test,3.6,4.5,3.25,3.8,5,Girl
post-test,3.4,3.17,1.25,4,2.75,Girl
post-test,3.8,3.67,3.25,4.4,2.5,Girl
post-test,4.4,4.67,5,4.6,4.5,Girl
post-test,1.2,1.5,1,1.2,3,Boy
post-test,3.6,4,2,4,5,Girl
post-test,3.4,3.17,4.5,3.8,4.5,Boy
post-test,3.4,3,4,4,4,Boy
post-test,4.6,4.67,4.5,4,3.5,Girl
post-test,4,3.83,4.25,4.6,4.25,Boy
post-test,3.8,2.5,3.5,2.8,3.75,Boy
post-test,3.8,5,4.25,3.8,4.5,Boy
post-test,4.2,3.33,4,4.2,5,Girl
post-test,2.2,4,2,3.4,3.5,Boy
post-test,4.6,5,2.75,5,4,Boy
post-test,3.6,4,3.25,3.6,3,Boy
post-test,4,3.17,3.25,2.6,2.75,Girl
post-test,3.4,4.83,3.25,3,4.75,Boy
post-test,4.6,4.33,4.75,4,3.25,Girl
post-test,4.2,2.83,2.75,3.2,4,Girl
post-test,4,3.67,3,3.2,2.75,Girl
post-test,2.2,2.83,2.25,2.2,3,Girl
post-test,4.4,2.33,4.5,3.6,3.25,Girl
post-test,4,3.67,3.75,3.6,3.75,Girl
post-test,4.4,2.83,2,1.8,2.75,Girl
post-test,4.4,4.33,5,4.8,4.5,Boy
post-test,1.4,5,1,1,5,Boy
post-test,3.8,4.5,5,4.6,4.5,Boy
post-test,4.6,4.17,4,4.6,4.25,Girl
post-test,4.2,4.33,3.5,3.6,3.75,Girl
post-test,4,2.67,5,3.6,4,Boy
post-test,4.6,5,5,4.2,2.5,Boy
post-test,5,5,5,5,3.75,Boy
post-test,4.2,3.83,2.75,4.6,4,Boy
post-test,4.2,4.33,3.25,3.8,3.75,Girl
post-test,4.8,3.5,5,3.6,4.5,Boy
post-test,4.4,4.5,3.5,4.4,4.5,Boy
post-test,4.6,2.5,3.25,4,4,Boy
post-test,3,1.5,3,2,3.75,Girl
post-test,3.4,2.67,4,4.6,1,Boy
post-test,3.6,3.5,1.5,3.2,3.5,Girl
post-test,3.8,3.33,3.25,3.8,3.5,Boy
post-test,5,5,5,5,1,Boy
post-test,3,3,3,3,3,Boy
post-test,3.6,3.83,4,3.4,4.5,Girl
post-test,3.8,3.5,4.25,3.8,4,Girl
post-test,3.8,3.67,5,4.2,4.5,Girl
post-test,3.6,3.5,4.5,3.8,4,Girl
post-test,3.4,4,5,4.6,2,Boy
post-test,3.6,4,3.25,4,4.5,Boy
post-test,4.6,4.67,4.5,4.2,5,Girl
post-test,3.6,4.5,4.75,4.8,4.25,Girl
post-test,4.6,4.17,4.25,5,3,Girl
post-test,3.6,3.5,3,3,3.25,Boy
post-test,3,3,4,3.6,5,Girl
post-test,4.6,4.33,4.25,4.2,4,Boy
post-test,4.4,4.17,4,3.6,4.25,Boy
post-test,3,4,3.75,3.8,4.5,Boy
post-test,4,4.5,3.5,3.6,4.25,Girl
post-test,3.6,2.83,3,3.8,3.5,Girl
post-test,4.6,4.5,4,4.4,4,Boy
post-test,4.6,3.33,3.5,3,3.75,Boy
post-test,4.8,3.5,4.75,3.4,3.75,Girl
post-test,4.4,4.33,3,4.6,4.75,Boy
post-test,3.8,3.83,4.25,3.6,3,Boy
post-test,3.6,3.5,3.5,3.8,3,Boy
post-test,2.6,2.5,3.75,3,2.75,Boy
post-test,4.4,3.83,4.5,3.8,4.5,Girl
post-test,4.2,3.33,2.5,3.2,4.25,Girl
post-test,2.8,2.83,3.75,3.4,3.25,Girl
post-test,4,5,4.5,4.6,2,Boy
post-test,4.4,4.17,4.5,3.2,2,Boy
post-test,3,3,2,2.8,3,Boy
post-test,3.6,2.83,4.75,4,4,Girl
post-test,5,4.33,2.5,3.4,2,Boy
post-test,3,1.83,3.25,3.2,2.5,Boy
post-test,4.4,4,3,4.2,4.75,Boy
post-test,4,4.17,5,3.6,2.5,Girl
post-test,2.2,1.17,2,2.6,2.25,Boy
post-test,4.6,4,5,3.4,3.5,Boy
post-test,3.8,3.5,3,3.2,3.5,Girl
post-test,4.6,4.83,4.25,4.6,5,Boy
post-test,4,2,4.25,3.6,3,Girl
post-test,4.4,3.17,4.25,3.8,4,Girl
